Tweets,Subjectivity,Polarity,Analysis
"Apple CEO   is set to appear before Congress to testify alongside CEOs from Amazon, Google, and Facebook in ",0.0,0.0,Neutral
_polumbo   There's a pivot in there from Steve Jobs to   that I think is a mistake.,0.0,0.0,Neutral
Why are there TWO dialer screens showing up in the app switcher during phone calls? The white one is TOTALLY USELES ,0.375,0.0,Neutral
"Four Big Tech CEOs   MarkZuckerberg,  ,   and  _   w ",0.1,0.0,Neutral
"Antitrust hearing with  , Jeff Bezos, Mark Zuckerberg, and Sundar Pichai indefinitely postponed ",0.0,0.0,Neutral
We demand  _ to remove the problematic game \Prison Empire Tycoon\ from the App store. \n\nAllowing thi ,0.4,-0.4,Negative
"No Rolex, we rich  why billionaires like Jeff Bezos, Bill Gates, Mark Zuckerberg and   wear watches even ",0.75,0.375,Positive
 _       Thank you so ,0.0,0.0,Neutral
"Four Big Tech CEOs  Facebook's Mark Zuckerberg, Amazon's Jeff Bezos, Google's Sundar Pichai and Apple's    ",0.1,0.0,Neutral
  _ Apple has changed a lot since the iPod I think... and not for the better. I ,0.5,0.5,Positive
Most insensitive   negates a previous care offer after a store closure and makes my life unbearable. C ,0.3333333333333333,0.16666666666666669,Positive
 _ I just want the standard remote with the mute button underneath the +/- Volume.,0.1,-0.05,Negative
 _ we need the ability to customize our wallpapers automatically without opening settings and changin ,0.0,0.0,Neutral
 _ We have your mute button right here )\n,0.5357142857142857,0.2857142857142857,Positive
_ Hey! Need help about stolen ,0.0,0.0,Neutral
  _ Thank you James!  We appreciate it!!,0.0,0.0,Neutral
 I also emailed the CEO and tweeted too he doesn reply. This company is gng to die out soon. The POC s ,0.0,0.0,Neutral
The AppleTV remote really needs a mute button. cc _,0.2,0.05,Positive
_   My efforts to submit format that embraces Apple core principles for people worldwide ,0.0,0.0,Neutral
 News \n\nAntitrust issues have continued to crop up over the last couple years regarding possible violations of co ,0.5333333333333333,0.0,Neutral
 _       I would love ,0.6,0.5,Positive
"Four Big Tech CEOs  Facebook Mark Zuckerberg, Amazon Jeff Bezos, Google's Sundar Pichai and Apple's    ",0.1,0.0,Neutral
 _       Ah well if you ,0.0,0.0,Neutral
 Tablet does kinda.  _  is trying hard to Replace laptop with ipads.,0.5416666666666666,-0.2916666666666667,Negative
Thank you  \nThank you _ \n\niOS 14 is exposing the surveillance society they are building up around us. ,0.0,0.0,Neutral
"Lawmakers will have plenty to probe when Jeff Bezos,  , Mark Zuckerberg and Sundar Pichai testify before Con ",0.0,0.0,Neutral
"  can you eat? Nathan asked,  want to learn how to  one day, and id love for you to taste tes ",0.6,0.5,Positive
 _       Quality vide ,0.0,0.0,Neutral
Happy Sunday y   _girl       ,1.0,0.8,Positive
"Antitrust hearing with  , Jeff Bezos, Mark Zuckerberg, and Sundar Pichai indefinitely ... ",0.0,0.0,Neutral
Apple CEO   ,0.0,0.0,Neutral
"US House Judiciary Committee hearing \Online Platforms &amp; Market Power, Part 6 Examining the Dominance of Amazon, ",0.0,0.0,Neutral
"Four Big Tech CEOs  Facebook Mark Zuckerberg, Amazon Jeff Bezos, Google's Sundar Pichai and Apple's    ",0.1,0.0,Neutral
_ forgot to tag you,0.0,0.0,Neutral
    _   Haha idiot the intent is to get reply fro ,0.55,-0.30000000000000004,Negative
 _c137 Unreleased sample iPhone colors from  ? Ye is picky w his colors,0.0,0.0,Neutral
"Antitrust hearing with  , Jeff Bezos, Mark Zuckerberg, and Sundar Pichai indefinitely postponed ",0.0,0.0,Neutral
"2/2   all my apps are offloaded and still the bug doesn go off, it impacting my day to day w ",0.0,0.0,Neutral
 _Newquay _ Teamwork I guess is what I getting at ,0.0,0.0,Neutral
" _Newquay _ Haha! This was with work, so I have to shoutout my coworker too, who doesn ",0.3,0.25,Positive
"2/2   all my apps are offloaded and still the bug doesn go off, it impacting my day to day w ",0.0,0.0,Neutral
@_MasonSummers _Newquay _ hire this guy for the next apple wallpapers,0.0,0.0,Neutral
Hello _  Is that True? ,0.65,0.35,Positive
   _    No... there's no  in So ,0.0,0.0,Neutral
_   No one should have a problem with good trouble. Yet the trouble that he tried to cause ,0.3333333333333333,0.09999999999999998,Positive
   _  I've only used  &amp;  so far.,1.0,0.05,Positive
  Hey  &amp; _  \n\nI don't think  is available in South Korea..,0.4,0.4,Positive
 you steal  's iphone,0.0,0.0,Neutral
"Amazon Jeff Bezos, Apple  , Facebook Mark Zuckerberg and Google Sundar Pichai will all appear before ",0.0,0.0,Neutral
" Or you could come on and we'd both tapdance on  's conscience.  No, that's not right.  There isn't room.",0.5357142857142857,-0.14285714285714285,Negative
"The House Judiciary Committee will speak to  , Jeff Bezos, Mark Zuckerberg, and Sundar Pichai on Wednesday. ",0.0,0.0,Neutral
 _  \nSomany Apple Watches bricking after screen replacement due to NFC ( while pairing ,0.375,-0.125,Negative
"The House Judiciary Committee will speak to  , Jeff Bezos, Mark Zuckerberg, and Sundar Pichai on Wednesday. ",0.0,0.0,Neutral
"The House hearing for the CEOs of Apple, Amazon, Facebook, and Google will be delayed to avoid coinciding with a me ",0.0,0.0,Neutral
1/2   won even give back the 30% Apple collected in the scam \nApple sued for refusing to help iTunes gift ,0.0,0.0,Neutral
          ,0.0,0.0,Neutral
          ,0.0,0.0,Neutral
          ,0.0,0.0,Neutral
"Fantastic idea, with a great implementation. \n\nI won be surprised if  adopts this for a Pro cable product l ",0.85,0.4333333333333334,Positive
          ,0.0,0.0,Neutral
          ,0.0,0.0,Neutral
 _SYLVAN   Ask him who's  ,0.0,0.0,Neutral
The House tech-giant antitrust hearing originally scheduled for Monday has been postponed to Wednesday (7/27) at no ,0.75,0.375,Positive
          ,0.0,0.0,Neutral
          ,0.0,0.0,Neutral
          ,0.0,0.0,Neutral
          ,0.0,0.0,Neutral
   _hickman  _ Fair play to them. Only took them 6 yea ,0.95,0.35,Positive
CEOs Need to Learn  's 'Empathy' Rule of Management  SmartNews,0.0,0.0,Neutral
This will be fun. Congress is generally tech ignorant. Not much better when it comes to business. And Fuckerberg ,0.39999999999999997,0.033333333333333326,Positive
          ,0.0,0.0,Neutral
          ,0.0,0.0,Neutral
_   I trying to live chat on ur company website but a shame that you don have live chat on website.,0.5,0.13636363636363635,Positive
You mean TIM COOK hasn't FIGURED IT ALL OUT?? Who woulda thunk that GaltsGulch couldn't clean up its own MESS. Y'a ,0.640625,0.11979166666666667,Positive
This is beyond tasteless _  \n,0.9,-0.6,Negative
 _  \I believe education will fix that.\\n\nThe world desperately needs this.  Rooting for you!,1.0,-0.75,Negative
"  _  The worst part is when I visited a service center, after diagnosis they tol ",0.55,-0.55,Negative
 _       There a ,0.0,0.0,Neutral
 _  what you should know about it. Because people definitely follow this account for political things like this,0.3,0.0,Neutral
 _       Audience  ,0.0,0.0,Neutral
" Switch from Mac!! I did and am soooo happy (screw you,  ). DM me if you want my research -- I did a ton.",1.0,0.8,Positive
    _    Thats why.\nBoycottChina ,0.0,0.0,Neutral
So I say it again  and _ go design emojis and dark modes etc. Though you have a major component open ,0.4666666666666666,-0.029166666666666664,Negative
The new   edition of the iPhone 12 is lit\n\nDef copping this ,0.45454545454545453,0.13636363636363635,Positive
_nitin  _       Legit!,0.0,0.0,Neutral
 I've seen unbreakable cryptography designed for accessibility by U.S. without master keys etc. It's here ,0.0,0.0,Neutral
Literally the only white male is Trans. The only white female is a Hollywood child celeb. Most are black. One Chine ,0.4,0.04166666666666667,Positive
  _ . My Photo stream does not work in Macbook Air,0.0,0.0,Neutral
_ I am a fan of apple products and I try to use them when a competitor exists. However I have tried to use ,0.0,0.0,Neutral
 _       Heading to Y ,0.0,0.0,Neutral
"Also, _ how does this crap pass  certification?? ",0.8,-0.8,Negative
 _       pal if i buy ,0.0,0.0,Neutral
 _       \so the firs ,0.0,0.0,Neutral
Boggles my mind how this was actually shot on an iPhone. _ shotoniphone ,0.1,0.0,Neutral
 _       The pencil is wrong...no?,0.0,0.0,Neutral
_    great.,0.75,0.8,Positive
"Breaking - Mark Zuckerberg, Jeff Bezos,   and Sundar Pichai -- the CEOs of Facebook, Amazon, Apple and Goog ",0.0,0.0,Neutral
    _   You can but you won get a fucking reply ,0.8,-0.6,Negative
"Great news form apple,\nApple started manufacturing iPhone 11 in chennai,India at foxconn plant.\nI guess that cost ",0.75,0.8,Positive
"Hi,  !!! ",0.0,0.0,Neutral
 _   with FBI you say?  Turn in your security clearance Graham and resign in shame.,0.0,0.0,Neutral
CEOs Need to Learn  's 'Empathy' Rule of Management  via  thanks ,0.2,0.2,Positive
 _       that  ,0.0,0.0,Neutral
 _       Another ipad video ,0.0,0.0,Neutral
 _       Thank you!!,0.0,0.0,Neutral
 - I had an issue with a payment subscription and the same was raised couple of days back. No response ,0.0625,0.0,Neutral
Neo has released iPhone 12 before   ,0.0,0.0,Neutral
 _       That tattoo is fire,0.0,0.0,Neutral
 _ End phone calls. If you didn schedule a Zoom gtfo.,0.0,0.0,Neutral
 _       Thanks for appreciation ,0.2,0.2,Positive
 _       That like ,0.0,0.0,Neutral
_nitin _       Nice! Love the minimal vibes,0.7333333333333334,0.3833333333333333,Positive
 _       How is my se ,0.0,0.0,Neutral
   _ I am saying  scale repeatedly to test if it listening.,0.0,0.0,Neutral
 _       You gotta do a thumbnail tutorial!,0.0,0.0,Neutral
The most important question in the life; What do you do for other people?\n\n    _ ,0.625,0.25833333333333336,Positive
 _       Dope thumbnail bro,0.0,0.0,Neutral
whew chile my side profile is TERRIBLE. but my dad is   so i guess it all good,0.8,-0.15000000000000002,Negative
 Really.  The people so  are those who likely live in areas which will be deliberately made ,0.5666666666666667,0.11212121212121212,Positive
._ announces Mask ID Apple   ,0.0,0.0,Neutral
Firing up the old dinosaur to prove to   that if I BOUGHT  here &amp; they HERE? Then ,0.2,0.1,Positive
 _    _    They just ignore China atrocities BoycottChina,0.0,0.0,Neutral
"_ Thank you, Mr. Bob Unanue, a CEO GOYA with very opened-eyes. \nHe's joined by Jim Hackett, CEO Ford Motor ",0.3,0.2,Positive
" _ Yes, not what you pay 1200 for.",0.0,0.0,Neutral
 _  you wish,0.0,0.0,Neutral
"_ \nDon drop charger from Iphone 12, it won create a good image in consumer mind, coz no consumer would ",0.6000000000000001,0.7,Positive
"_ \nAs an  Loyal Fan, leaks that been circulating around for Iphone 12, which suggests, Apple dropping ",0.8333333333333334,0.3333333333333333,Positive
    _  Heard of right of speech ?? People tag president o ,0.5357142857142857,0.2857142857142857,Positive
CEOs Need to Learn  's 'Empathy' Rule of Management ,0.0,0.0,Neutral
 _ It just an extra 2 seconds to enter your passcode,0.1,0.0,Neutral
The US House Judiciary Committee has rescheduled the tesony of _ and other tech CEOs to its antitrust su ,0.375,-0.125,Negative
_  really should make these  proof ,0.2,0.2,Positive
 He's a national treasure. I implored _   and  to do the ,0.0,0.0,Neutral
 Why do you have an iPad Pro paired with an Apple Pencil 1 i your promotional image? That just wrong!!!  _ ,0.9,-0.9765625,Negative
   The economy is a DISASTER and you are leading the charge against the AMERICAN tech ,0.0,0.0,Neutral
_     Unfortunately bad customer service,0.6666666666666666,-0.6999999999999998,Negative
" _ That nothing, the dial button has a long press option?!?!? Why? Absolutely wild ",0.4,0.010937500000000003,Positive
"(Just when it feels like  's Apple is finally learning not to be  's Apple, it's  's Apple all over again.)",1.0,0.0,Neutral
"3/ Why am I doing this?\n\nBecause talent is evenly distributed, but opportunity is not.\n\nI believe education will fi ",0.0,0.0,Neutral
  no one is taking up the issue and no one is reverting in DM also are we fools or have done som ,0.0,0.0,Neutral
_Dera3 Who  ?,0.0,0.0,Neutral
_raj  _ Either way I getting the iPhone 12 SE Max Ginormous Mega this year.,0.0,0.0,Neutral
"  _ wow what a service, no reply after these many days. I am going to file a complaint w ",0.5666666666666667,0.09999999999999999,Positive
  _ Let see if Santa  fulfills your wish,0.0,0.0,Neutral
BBNaija BBNaijia2020 bbnlockdown\nNobody\n\nAbsolutely Nobody\n\nNeo My guys pour drink on top iPhone 12\n\n  ,0.5,0.5,Positive
_ \n Hackers !\n\n Hackers !\n\n Hackers !\n\n COMPUTING is Game Changer.( Working ,0.4,-0.4,Negative
CEOs Need to Learn  's 'Empathy' Rule of Management ,0.0,0.0,Neutral
Thank you _  ,0.0,0.0,Neutral
  coming online seeing iPhone 12 trend ,0.0,0.0,Neutral
 _ if my iPhone was 1mm thicker I would never complain if it meant 30-50% more battery life. 1mm isn ,0.5,0.5,Positive
\CEOs Need to Learn  's 'Empathy' Rule of Management\ Read it at ,0.0,0.0,Neutral
Here's my lil one recommending a new  logo! \n\n_ \n ,0.45454545454545453,0.17045454545454544,Positive
   _ It same. The only difference is that  button is out of frame.,0.5625,0.0,Neutral
_ dear  r u only seeing to increase the market share of apple but what about poor Service you r providin ,0.8,-0.2,Negative
_ After someday \n - we are presenting Apple underwear,0.0,0.0,Neutral
    ww1 books are good,0.6000000000000001,0.7,Positive
 What wrong With you all I m arranging the call from last 7 days no reply from ur side nor reply on ,0.48333333333333334,-0.25,Negative
  _  do you have to show up? I bet you built their calendars anyway,0.0,0.0,Neutral
 _ i hang up usually .... &amp; go back to text.,0.125,-0.125,Negative
CEOs Need to Learn  's 'Empathy' Rule of Management  ,0.0,0.0,Neutral
CEOs Need to Learn  's 'Empathy' Rule of Management  ,0.0,0.0,Neutral
CEOs Need to Learn  's 'Empathy' Rule of Management  ,0.0,0.0,Neutral
CEOs Need to Learn  's 'Empathy' Rule of Management  ,0.0,0.0,Neutral
BBNaijia2020\n  after hearing someone in Nigeria bought iPhone 12 and was pouring champagne on it at the clu ,0.0,0.0,Neutral
Ok this one is pretty interesting... What do you think guys and gals? CEOs Need to Learn  's 'Empathy' Rule ,0.6666666666666666,0.4166666666666667,Positive
" action can be the foundation for a new era of innovative potential, job creation, and durable economic gro ",0.550909090909091,0.18727272727272726,Positive
CEOs Need to Learn  's 'Empathy' Rule of Management  ,0.0,0.0,Neutral
"_ I beg to differ. If it weren for carbon-based life forms, Apple would not exist!",0.0,0.0,Neutral
_16   _ Top corner of the Messages application. So far out of the ,0.75,0.3,Positive
_ Why is Apple being so vague r/t this issue. Humans deserve adequate warning of device use at the point of purchase- Yeahhh No ,0.41666666666666663,-0.08333333333333334,Negative
"The blotto Martini put 1/2 of Brandy. Add 1/8 of Champagne, and 3/2 of sugar syrup. Add olives. \n Enjoy it like _.\n \n Sant !",0.5,0.5,Positive
"Tune in Wednesday for the CEOs Facebook, Google, Amazon and ",0.0,0.0,Neutral
_relax  _  Give us this _  ,0.0,0.0,Neutral
"_mkv  _ There will be a live stream, however we will also be covering it live here on Twitter an ",0.5,0.13636363636363635,Positive
  _ Will it be covered live on a website ?,0.5,0.13636363636363635,Positive
"JUST IN\n\n CEO _ and other major tech CEOs will testify on Wednesday, July 29th in the USHouse antit ",0.4375,-0.03125,Negative
Bill Gates is furious   is gay Steve Ballmer purchased the clippers,0.5833333333333334,0.4166666666666667,Positive
" Hey, _ all your pandering to China didn't work out huh. ",0.0,0.0,Neutral
  Burn incense and pray to your apple overlord   and the almighty warren buffet w ,0.0,0.0,Neutral
"_penn _  You have got to be joking or is Ignorance your Harvard business school qualifications, ",0.0,0.0,Neutral
" planet can wait, says  Prepare dinner as Apple goes carbon impartial\n\nIn a serio... ",0.0,0.0,Neutral
  _        ,0.0,0.0,Neutral
_ you better include in-screen touchid or a facemask faceid mode with the iPhone 12. Tired of this bullshit....,0.6,0.04999999999999999,Positive
  _ I guess I haven investigated much so I should be careful. But without the phone mfg ,0.6,0.05,Positive
_ \n\n have to open Official Apple store in INDIA \n                             +\n PaYment System ,0.5,0.0,Neutral
_ is Apple planning to partner with Indian banks to launch rumoured QR based Apple Pay in India with integr ,0.0,0.0,Neutral
"\I hope people remember me as a good and decent man. And if they do, then that's success.\   ",0.6333333333333333,0.4333333333333333,Positive
  _ how does it feel to take money from a child ,0.0,0.0,Neutral
_   This Tweet is about honoring a great man who fought so that I could exercise my right ,0.6428571428571428,0.5428571428571429,Positive
 _  So what... You signed up for the beta then conplain that a feature you paid f ,0.0,0.0,Neutral
  _ you just noticed this?,0.0,0.0,Neutral
"Antitrust hearing with  , Jeff Bezos, Mark Zuckerberg, and Sundar Pichai indefinitely postponed  via ",0.0,0.0,Neutral
" _ Stressful yes, but this situation is inherently sort of  if drawn out with a ",0.0,0.0,Neutral
 _hickman  _ I mean the fact the IOS 14 update is highlighting a popup call ,0.6875,-0.3125,Negative
  This is not to replace minimum wage but to take out it consistent need for elevat ,0.25,0.25,Positive
_   Robertsdale? So crazy!,0.9,-0.75,Negative
"Antitrust hearing with  , Jeff Bezos, Mark Zuckerberg, and Sundar Pichai indefinitely postponed \n\nBig Tech C ",0.0,0.0,Neutral
" _hickman  _ Well I use many devices from many manufacturers, probably had ",0.5,0.5,Positive
    _    They same we he remains silent. We don't gi ,0.1125,0.0,Neutral
Apple was called over three weeks ago and that device was reset and I mean what I say you have one more e to kee ,0.59375,0.09375,Positive
" _hickman  _ I used androids from a range of brands (Alcatel, Nokia, Son ",0.0,0.0,Neutral
  _ I done this many es. I learned to put the cursor somewhere else ,0.5,0.5,Positive
_   Outstanding! Thank you! ,0.875,0.78125,Positive
 Would be good if Apple next  includes feature w/ O2 sat combined w pulse monitoring.\n\nWould be ,0.30000000000000004,0.35,Positive
    _  You tagging   because they accidental ,0.0,0.0,Neutral
 Can you set the siri shortcut to automatically unhide the page on Monday morning at the wake up e is the ,0.0,0.0,Neutral
"Made in China to Made in Chennai, India.  iPhone11 eow. _ thanks",0.2,0.2,Positive
 _hickman  _ Well that's what you get for buying shit like Alcatel.,0.8,-0.2,Negative
THIS IS WAR BITCH ITS NOT CP OR PC TIME. AND TIM COOK IS A FUCKING FAGGOT,0.8,-0.6,Negative
"_  He is so right! Watch the liberals, The Left are going to make fun of him because they are ",0.24523809523809526,0.21904761904761902,Positive
" _hickman  _ Don get me wrong, Android 10 has a nice dark mode and night ",0.7666666666666666,-0.016666666666666673,Negative
MagSafe for EVs  _ please bring back! \n\n    ,0.0,0.0,Neutral
 _hickman  _ ...the cameras are watered down by the apps that it uses (how ,0.2888888888888889,-0.15555555555555559,Negative
_  you are smart and a good risk assessor.  Why not cut manufacturing in China by 75%.  Bring automated jobs to the USA!,0.6214285714285714,0.5446428571428571,Positive
 _hickman  _ Funny you mention that. My old Alcatel had this but it just ,0.6,0.175,Positive
 Another view on the Apple Card. Apple creditcard  ,0.0,0.0,Neutral
 Cc.  _ - you are giving you customers inferior products.. try  ,0.0,0.0,Neutral
"Antitrust hearing with  , other tech CEOs officially delayed  ",0.375,-0.125,Negative
I just outsourced  ! What? ,0.0,0.0,Neutral
"I'm getting the run around for, and wasted 4 hours on the phone, hour of travel, hour a the store, then another 30 ",0.0,-0.2,Negative
"look, i just need a board to antitrust with tooooo eric schmidt   and bill games ga7es... ",0.0,0.0,Neutral
"Antitrust hearing with  , Jeff Bezos, Mark Zuckerberg, and Sundar Pichai indefinitely postponed  via ",0.0,0.0,Neutral
".. from the garden outside the door of, what's called, the canteen of BlackHoleConcepts a mere name, but in the IC ",0.275,-0.25,Negative
_ \nWhat will be the price? Will it be dropped as you save import tax henceforth? Can we expect some p ,0.0,0.0,Neutral
It is essential that the technology we use to teach and create is consistent with the words and ideas we want to co ,0.275,0.125,Positive
I say this all the e. It stresses me out just looking at it _!! ,0.0,0.0,Neutral
" , I like to buy  Tin Can . Do you have or can you order it for me, please?",0.0,0.0,Neutral
" collectively, to get things done, work together as a team. Because the work really happens horizontally in our ",0.2,0.2,Positive
"Proud to be part of this amazing, global group of educators. Thank you  and _ for constantly inspi ",0.5583333333333333,0.35000000000000003,Positive
Doesn Dev at Apple miss 3D Touch? It was a breakthrough invention. \n\nMouse \nClick wheel \nMulti-Touch \n3DTouch ,0.0,0.0,Neutral
 I can understand your difficulty in speaking the truth! Common...don't speak trained words.\n\nI kno ,0.0,0.0,Neutral
_ is option or choice.,0.0,0.0,Neutral
"_ if I live in 123-11 and require to the news- paper company, can watch the news on Apple tv.",0.5,0.13636363636363635,Positive
"Antitrust hearing with  , other tech CEOs officially delayed\n\n ",0.375,-0.125,Negative
_ may be convenient than paper on now difficult e.,1.0,-0.5,Negative
_ now is web e. but need new news.,0.45454545454545453,0.13636363636363635,Positive
"Antitrust hearing with  , Jeff Bezos, Mark Zuckerberg, and Sundar Pichai indefinitely postponed ",0.0,0.0,Neutral
 _Cat    _    Money is not everything! Don ,0.0,0.0,Neutral
"_ if touch and drag remote- controller, go to next or pre page of news paper",0.09027777777777779,-0.06666666666666667,Negative
  and Jony Ive play hide and seek ,0.0,0.0,Neutral
 _ hey so like can y plz make it so that when phone calls come thru they pop up as a notification ,0.0,0.0,Neutral
"_ so, add news paper button on remote-controller.",0.0,0.0,Neutral
"This has to be the best   impression out there, I'm dying  ",0.3,1.0,Positive
_ possible? can watch news-paper by tv?,1.0,0.0,Neutral
_karan  _       ,0.0,0.0,Neutral
_ is about Apple tv.,0.0,0.0,Neutral
_ how is?,0.0,0.0,Neutral
_ write my thinking.,0.0,0.0,Neutral
_ glad meet you.,1.0,0.5,Positive
Dr. Dre _,0.0,0.0,Neutral
 _ this isn't a problem for anyone without a blue check mark. Media types are quite stupid.,0.55,-0.39999999999999997,Negative
  _        Xs max,0.0,0.0,Neutral
"_seer   The other Americans rights they are  up for are Bill Gates, ",0.375,-0.125,Negative
_karan  _       ,0.0,0.0,Neutral
_   Apple's loss will not complicate the developed account  ,0.3,0.1,Positive
Will 3D Touch come back in iOS 14 beta 4 ?  _     ,0.0,0.0,Neutral
  _    help a poor man say goodbye to his dying wife ,0.6,-0.4,Negative
_ \n@ Apple Product (iPhone is going to break all record in India)\n\nNo more  20% Import duties ,0.5,0.5,Positive
 t-Mobile needs to ask   can we Bari your web designers to make our site accessible for people o ,0.375,0.375,Positive
what guys? i their eco ceo! i better than their current board  you leverage sooooo much FUTURE DEBT SINCE ,0.3416666666666666,0.16666666666666666,Positive
If Apple wants a deal with me the solution is simple Fire   BrexitReality ,0.2285714285714286,0.1,Positive
"How   makes and spends his millions\n\nTo see how other millionaires spend their fortunes, watch more on ",0.4375,0.1875,Positive
    _ Dev arrogance is still alive and well!,0.4,0.125,Positive
"_   Hey , here is an idea for your next board meeting. \nAcquisition of HTC.\n3 new model ",0.22727272727272727,0.06818181818181818,Positive
you can't change Chinese communist party. Either our democracy &amp; freedom be controlled &amp; destroyed by their dictato ,0.0,0.0,Neutral
_  Do I expect any help ??,0.0,0.0,Neutral
 _tri   is a supply chain god,0.0,0.0,Neutral
"   First Law of Design  easier something is for users, the more work i ",0.41666666666666663,0.375,Positive
From one country oppressing Muslims to another. \n\nGreat job _ and ,0.0,0.0,Neutral
"_   Please focus on product design, .  Everything you do is great, but I hope that Appl ",0.75,0.8,Positive
 I am happy that atleast someone got it right ! Unlike everyone else saying Apple started manufactu ,0.7678571428571428,0.5785714285714285,Positive
 _ please fix this,0.0,0.0,Neutral
 He s just like Sashikumar Cheliah (2018 winner). Those indians and Sri Lankans can  fire.  ,0.0,0.0,Neutral
"Mr. _,\nI contacted  because I wanted to work with that American giant ,  \nI have ideas for f ",0.5,0.0,Neutral
